00:00;Gremio;Santos;1:0;1.99;3.35;3.88;13
22:30;Corinthians;Goias;3:0;1.60;3.78;5.89;13
22:30;VascoChapecoense-SC;1:1;2.12;3.23;3.61;13
01:00;Atletico-PRCruzeiro;2:2;2.33;3.18;3.20;13
01:00;Fluminense;Sao Paulo;2:0;2.33;3.23;3.11;13
00:00;Figueirense;Flamengo RJ;3:0;2.97;3.13;2.49;13
00:00;Joinville;Coritiba;3:1;2.60;3.05;2.89;13
00:00;Palmeiras;Ponte Preta;0:1;1.58;4.03;5.72;13
22:30;Atletico-MG;Internacional;2:1;1.45;4.41;6.87;13
22:30;Sport Recife;Avai;3:0;1.76;3.55;4.75;13
21:30;Chapecoense-SC;Palmeiras;5:1;2.78;3.07;2.66;13
19:00;CruzeiroGremio;0:0;2.06;3.21;3.81;13
19:00;Goias;Figueirense;2:3;1.63;3.55;5.86;13
19:00;Ponte PretaCorinthians;2:2;3.09;3.14;2.39;13
19:00;Santos;Fluminense;3:1;1.52;3.96;6.65;13
14:00;AvaiVasco;1:1;2.02;3.26;3.86;13
14:00;Flamengo RJ;Joinville;2:0;1.40;4.38;8.50;13
00:00;Sao Paulo;Atletico-PR;1:0;1.75;3.53;4.92;13
21:30;Coritiba;Atletico-MG;0:3;3.09;3.31;2.29;13
21:30;Internacional;Sport Recife;2:1;1.68;3.65;5.14;13
21:30;Cruzeiro;Coritiba;2:0;1.45;4.09;7.82;13
21:30;Sport Recife;Chapecoense-SC;3:0;1.81;3.34;4.83;13
19:00;Figueirense;Corinthians;1:3;3.19;3.18;2.32;13
19:00;Flamengo RJ;Vasco;1:2;1.72;3.59;5.01;13
19:00;JoinvilleAtletico-MG;2:2;4.55;3.51;1.80;13
19:00;Sao PauloPalmeiras;1:1;2.13;3.35;3.41;13
14:00;Atletico-PR;Ponte Preta;1:2;1.91;3.35;4.18;13
14:00;Santos;Internacional;3:1;1.73;3.57;4.97;13
00:00;Gremio;Avai;3:1;1.45;4.08;7.67;13
21:30;Fluminense;Goias;2:0;1.88;3.38;4.28;13
21:30;Chapecoense-SC;Cruzeiro;0:2;2.67;2.98;2.84;13
21:30;Coritiba;Atletico-PR;2:0;2.62;3.02;2.87;13
19:00;Atletico-MG;Flamengo RJ;4:1;1.71;3.68;4.89;13
